CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.070.698/0001-11;2023-06-30;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;ITR;130313;2023-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130313
00.070.698/0001-11;2023-09-30;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;ITR;132561;2023-11-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=132561
00.080.671/0001-00;2023-03-31;1;CARAMURU ALIMENTOS S.A.;026190;ITR;126601;2023-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=126601
00.080.671/0001-00;2023-06-30;1;CARAMURU ALIMENTOS S.A.;026190;ITR;130215;2023-08-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130215
00.080.671/0001-00;2023-09-30;1;CARAMURU ALIMENTOS S.A.;026190;ITR;132450;2023-11-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=132450
00.192.769/0001-59;2023-03-31;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;014613;ITR;126486;2023-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=126486
00.192.769/0001-59;2023-06-30;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;014613;ITR;130130;2023-08-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130130
00.192.769/0001-59;2023-09-30;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;014613;ITR;132284;2023-11-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=132284
00.194.724/0001-13;2023-03-31;1;AES BRASIL OPERAÇÕES S.A.;026174;ITR;125754;2023-05-04;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=125754
00.194.724/0001-13;2023-06-30;1;AES BRASIL OPERAÇÕES S.A.;026174;ITR;129716;2023-08-03;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=129716
00.194.724/0001-13;2023-09-30;1;AES BRASIL OPERAÇÕES S.A.;026174;ITR;131801;2023-11-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=131801
00.242.184/0001-04;2023-03-31;1;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;026069;ITR;126033;2023-05-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=126033
00.242.184/0001-04;2023-06-30;1;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;026069;ITR;129719;2023-08-03;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=129719
00.242.184/0001-04;2023-09-30;1;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;026069;ITR;131862;2023-11-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=131862
00.272.185/0001-93;2023-03-31;1;CIMS S.A.;014818;ITR;125968;2023-05-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=125968
00.272.185/0001-93;2023-06-30;1;CIMS S.A.;014818;ITR;130263;2023-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130263
00.272.185/0001-93;2023-09-30;1;CIMS S.A.;014818;ITR;132192;2023-11-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=132192
00.336.701/0001-04;2023-03-31;1;TELEC BRASILEIRAS S.A. TELEBRAS;011258;ITR;126519;2023-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=126519
00.336.701/0001-04;2023-06-30;1;TELEC BRASILEIRAS S.A. TELEBRAS;011258;ITR;130488;2023-08-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130488
00.336.701/0001-04;2023-09-30;1;TELEC BRASILEIRAS S.A. TELEBRAS;011258;ITR;132259;2023-11-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=132259
00.359.742/0001-08;2023-03-31;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;015423;ITR;125841;2023-05-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=125841
00.359.742/0001-08;2023-06-30;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;015423;ITR;129712;2023-08-03;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=129712
00.359.742/0001-08;2023-09-30;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;015423;ITR;132616;2023-11-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=132616
00.383.281/0001-09;2023-03-31;1;BNDES PARTICIPACOES S.A. - BNDESPAR;016772;ITR;126766;2023-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=126766
00.383.281/0001-09;2023-06-30;1;BNDES PARTICIPACOES S.A. - BNDESPAR;016772;ITR;130272;2023-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130272
00.383.281/0001-09;2023-09-30;1;BNDES PARTICIPACOES S.A. - BNDESPAR;016772;ITR;132516;2023-11-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=132516
00.389.481/0001-79;2023-03-31;1;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;024880;ITR;126809;2023-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=126809
00.389.481/0001-79;2023-06-30;1;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;024880;ITR;130356;2023-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130356
00.389.481/0001-79;2023-09-30;1;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;024880;ITR;132243;2023-11-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=132243
00.545.378/0001-70;2023-03-31;1;SERRA AZUL WATER PARK SA;014966;ITR;126813;2023-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=126813
00.545.378/0001-70;2023-06-30;1;SERRA AZUL WATER PARK SA;014966;ITR;130460;2023-08-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130460
00.545.378/0001-70;2023-09-30;1;SERRA AZUL WATER PARK SA;014966;ITR;132291;2023-11-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=132291
00.622.416/0001-41;2023-03-31;1;STATKRAFT ENERGIAS RENOVAVEIS S.A.;022594;ITR;126307;2023-05-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=126307
00.622.416/0001-41;2023-06-30;1;STATKRAFT ENERGIAS RENOVAVEIS S.A.;022594;ITR;130000;2023-08-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130000
00.622.416/0001-41;2023-09-30;1;STATKRAFT ENERGIAS RENOVAVEIS S.A.;022594;ITR;132028;2023-11-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=132028
00.644.907/0001-93;2023-03-31;1;INVESTCO S.A.;018589;ITR;125697;2023-05-03;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=125697
00.644.907/0001-93;2023-06-30;1;INVESTCO S.A.;018589;ITR;129231;2023-07-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=129231
00.644.907/0001-93;2023-09-30;1;INVESTCO S.A.;018589;ITR;131721;2023-10-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=131721
00.743.065/0001-27;2023-03-31;1;LITEL PARTICIPACOES S.A.;015091;ITR;126453;2023-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=126453
00.743.065/0001-27;2023-06-30;1;LITEL PARTICIPACOES S.A.;015091;ITR;130128;2023-08-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130128
00.743.065/0001-27;2023-09-30;1;LITEL PARTICIPACOES S.A.;015091;ITR;132278;2023-11-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=132278
00.864.214/0001-06;2023-03-31;1;ENERGISA S.A.;015253;ITR;126370;2023-05-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=126370
00.864.214/0001-06;2023-03-31;2;ENERGISA S.A.;015253;ITR;126412;2023-05-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=126412
00.864.214/0001-06;2023-06-30;1;ENERGISA S.A.;015253;ITR;130079;2023-08-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130079
00.864.214/0001-06;2023-09-30;1;ENERGISA S.A.;015253;ITR;132147;2023-11-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=132147
00.873.894/0001-24;2023-03-31;1;LETS RENT A CAR S/A;027383;ITR;131181;2023-09-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=131181
00.873.894/0001-24;2023-06-30;1;LETS RENT A CAR S/A;027383;ITR;131188;2023-09-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=131188
00.873.894/0001-24;2023-09-30;1;LETS RENT A CAR S/A;027383;ITR;132789;2023-11-23;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=132789
00.897.864/0001-58;2023-03-31;1;SANTA CATARINA PART INVEST SA;015199;ITR;126522;2023-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=126522
00.897.864/0001-58;2023-03-31;2;SANTA CATARINA PART INVEST SA;015199;ITR;126631;2023-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=126631
00.897.864/0001-58;2023-06-30;1;SANTA CATARINA PART INVEST SA;015199;ITR;130152;2023-08-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130152
00.897.864/0001-58;2023-09-30;1;SANTA CATARINA PART INVEST SA;015199;ITR;131783;2023-11-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=131783
00.924.429/0001-75;2023-03-31;1;FERROVIA CENTRO-ATLANTICA S.A.;015369;ITR;126253;2023-05-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=126253
00.924.429/0001-75;2023-06-30;1;FERROVIA CENTRO-ATLANTICA S.A.;015369;ITR;130692;2023-08-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130692
00.924.429/0001-75;2023-06-30;2;FERROVIA CENTRO-ATLANTICA S.A.;015369;ITR;130750;2023-08-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130750
00.924.429/0001-75;2023-09-30;1;FERROVIA CENTRO-ATLANTICA S.A.;015369;ITR;131849;2023-11-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=131849
00.938.574/0001-05;2023-03-31;1;CONC RIO-TERESOPOLIS S.A.;019208;ITR;126804;2023-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=126804
00.938.574/0001-05;2023-06-30;1;CONC RIO-TERESOPOLIS S.A.;019208;ITR;129741;2023-08-04;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=129741
00.938.574/0001-05;2023-09-30;1;CONC RIO-TERESOPOLIS S.A.;019208;ITR;131746;2023-11-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=131746
00.974.211/0001-25;2023-03-31;1;LINHA AMARELA S.A. - LAMSA;024937;ITR;126554;2023-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=126554
00.974.211/0001-25;2023-06-30;1;LINHA AMARELA S.A. - LAMSA;024937;ITR;130176;2023-08-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130176
00.974.211/0001-25;2023-09-30;1;LINHA AMARELA S.A. - LAMSA;024937;ITR;132220;2023-11-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=132220
00.979.969/0001-56;2023-03-31;1;CAIXA ADM DIV PUB ESTADUAL SA;015717;ITR;125878;2023-05-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=125878
00.979.969/0001-56;2023-06-30;1;CAIXA ADM DIV PUB ESTADUAL SA;015717;ITR;128985;2023-07-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=128985
00.979.969/0001-56;2023-09-30;1;CAIXA ADM DIV PUB ESTADUAL SA;015717;ITR;131789;2023-11-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=131789
01.027.058/0001-91;2023-03-31;1;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;021733;ITR;125501;2023-04-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=125501
01.027.058/0001-91;2023-06-30;1;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;021733;ITR;129660;2023-08-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=129660
01.027.058/0001-91;2023-09-30;1;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;021733;ITR;131716;2023-10-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=131716
01.083.200/0001-18;2023-03-31;1;NEOENERGIA S.A.;015539;ITR;125423;2023-04-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=125423
01.083.200/0001-18;2023-06-30;1;NEOENERGIA S.A.;015539;ITR;129187;2023-07-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=129187
01.083.200/0001-18;2023-09-30;1;NEOENERGIA S.A.;015539;ITR;131602;2023-10-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=131602
01.104.937/0001-70;2023-03-31;1;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;015784;ITR;126576;2023-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=126576
01.104.937/0001-70;2023-03-31;2;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;015784;ITR;126587;2023-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=126587
01.104.937/0001-70;2023-06-30;1;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;015784;ITR;130218;2023-08-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130218
01.104.937/0001-70;2023-09-30;1;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;015784;ITR;132471;2023-11-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=132471
01.107.327/0001-20;2023-03-31;1;BBM LOGÍSTICA S.A.;024660;ITR;125852;2023-05-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=125852
01.107.327/0001-20;2023-06-30;1;BBM LOGÍSTICA S.A.;024660;ITR;130431;2023-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130431
01.258.944/0001-26;2023-03-31;1;RUMO MALHA SUL S.A.;015709;ITR;126592;2023-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=126592
01.258.944/0001-26;2023-06-30;1;RUMO MALHA SUL S.A.;015709;ITR;130395;2023-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130395
01.258.944/0001-26;2023-09-30;1;RUMO MALHA SUL S.A.;015709;ITR;132445;2023-11-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=132445
01.319.044/0001-41;2023-03-31;1;WTC AMAZONAS SUITE HOTEL S.A.;015741;ITR;126643;2023-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=126643
01.319.044/0001-41;2023-06-30;1;WTC AMAZONAS SUITE HOTEL S.A.;015741;ITR;130775;2023-08-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130775
01.319.044/0001-41;2023-09-30;1;WTC AMAZONAS SUITE HOTEL S.A.;015741;ITR;131832;2023-11-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=131832
01.417.222/0001-77;2023-03-31;1;MRS LOGISTICA S.A.;017949;ITR;126364;2023-05-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=126364
01.417.222/0001-77;2023-06-30;1;MRS LOGISTICA S.A.;017949;ITR;130057;2023-08-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130057
01.417.222/0001-77;2023-09-30;1;MRS LOGISTICA S.A.;017949;ITR;132632;2023-11-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=132632
01.543.032/0001-04;2023-03-31;1;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;025577;ITR;126420;2023-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=126420
01.543.032/0001-04;2023-06-30;1;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;025577;ITR;130061;2023-08-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130061
01.543.032/0001-04;2023-06-30;2;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;025577;ITR;130125;2023-08-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130125
01.543.032/0001-04;2023-09-30;1;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;025577;ITR;131926;2023-11-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=131926
01.545.826/0001-07;2023-03-31;1;GAFISA S.A.;016101;ITR;126847;2023-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=126847
01.545.826/0001-07;2023-06-30;1;GAFISA S.A.;016101;ITR;130391;2023-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130391
01.545.826/0001-07;2023-09-30;1;GAFISA S.A.;016101;ITR;132149;2023-11-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=132149
01.548.981/0001-79;2023-03-31;1;INVESTIMENTOS BEMGE S.A.;006041;ITR;126530;2023-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=126530
01.548.981/0001-79;2023-06-30;1;INVESTIMENTOS BEMGE S.A.;006041;ITR;130187;2023-08-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130187
01.548.981/0001-79;2023-09-30;1;INVESTIMENTOS BEMGE S.A.;006041;ITR;132211;2023-11-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=132211
01.599.101/0001-93;2023-03-31;1;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;025160;ITR;126787;2023-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=126787
